"Figure 3: UK consumption footprint over time: UK, 1996 to 2022",""
"",""
"",""
"Notes",""
"Unit","Million tonnes of CO2e"
"",""
"Year","GHG from UK produced goods and services consumed by UK residents","GHG embedded in imported goods and services to UK","UK Households heating emissions arising from the use of fossil fuels","UK Transport emissions generated directly by UK households"
"1996","407","259","96","64"
"1997","375","305","90","64"
"1998","385","339","92","64"
"1999","369","343","92","65"
"2000","366","342","93","65"
"2001","371","327","95","66"
"2002","363","380","91","69"
"2003","367","386","92","68"
"2004","366","435","94","69"
"2005","365","429","90","70"
"2006","360","438","88","70"
"2007","358","466","84","70"
"2008","340","415","84","69"
"2009","310","354","81","68"
"2010","310","351","91","67"
"2011","292","362","73","66"
"2012","305","372","80","66"
"2013","295","370","82","67"
"2014","283","379","69","67"
"2015","290","368","72","68"
"2016","251","399","73","69"
"2017","230","372","72","70"
"2018","234","402","73","70"
"2019","229","392","71","69"
"2020","201","331","70","54"
"2021","211","376","74","58"
"2022","211","404","63","61"
